name,id,race,flavors1,flavors2,flavors3,positiveeffects1,positiveeffects2,positiveeffects3,positiveeffects4,positiveeffects5,negativeeffects1,negativeeffects2,negativeeffects3,negativeeffects4,negativeeffects5,medicaleffects1,medicaleffects2,medicaleffects3,medicaleffects4,medicaleffects5,medicaleffects6
Avi,88,hybrid,Earthy,Pungent,,Relaxed,Happy,Creative,Energetic,Focused,Dry Mouth,,,,,Depression,Insomnia,Fatigue,Inflammation,Muscle Spasms,
Avi-Dekel,89,hybrid,Earthy,Woody,Sweet,Relaxed,Euphoric,Happy,Uplifted,Aroused,Dizzy,Dry Mouth,Anxious,,,Depression,Pain,Stress,Headache,Fatigue,Inflammation
Azure Haze,90,hybrid,Sweet,Berry,Earthy,Relaxed,Hungry,Happy,Uplifted,,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
B-52,91,indica,Earthy,Sweet,Woody,Relaxed,Euphoric,Energetic,Focused,,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Stress,Lack of Appetite,Headaches,
B-Witched,92,hybrid,Earthy,Sweet,Chestnut,Relaxed,Hungry,Euphoric,Happy,Sleepy,,,,,,Insomnia,Stress,Lack of Appetite,Headaches,Muscle Spasms,
B.B. King,93,indica,Berry,Blueberry,Lemon,Relaxed,Happy,Uplifted,Sleepy,Giggly,,,,,,Depression,Insomnia,Pain,Nausea,Muscle Spasms,
B4,94,hybrid,Flowery,Minty,Earthy,Relaxed,Euphoric,Happy,Uplifted,Giggly,,,,,,Depression,Pain,Stress,Cramps,,
BC Big Bud,95,hybrid,Skunk,Earthy,Sweet,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Lack of Appetite,
BC Roadkill,96,hybrid,Skunk,Diesel,Lemon,Euphoric,Happy,Creative,Uplifted,Aroused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Nausea,Fatigue,
BC Sweet Tooth,97,indica,Sweet,Honey,Tree Fruit,Relaxed,Happy,Creative,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Insomnia,Pain,Stress,Lack of Appetite,Headache,Inflammation
BOG Bubble,98,hybrid,Flowery,Berry,Earthy,Relaxed,Hungry,Happy,Creative,Uplifted,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Cramps,
BSC,99,hybrid,Earthy,Pungent,Woody,Euphoric,Happy,Creative,Uplifted,Giggly,Dry Mouth,,,,,Pain,Stress,Cramps,Nausea,Headaches,
Bakerstreet,100,indica,Earthy,Sweet,Diesel,Relaxed,Hungry,Euphoric,Happy,Giggly,Dry Mouth,Dry Eyes,,,,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
Balmoral,101,hybrid,Chemical,Earthy,Pine,Relaxed,Happy,Energetic,Talkative,,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Headaches,Inflammation,
Banana Candy,102,indica,Tree Fruit,Flowery,Earthy,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Muscle Spasms,
Banana Diesel,103,hybrid,Sweet,Diesel,Earthy,Relaxed,Euphoric,Happy,Uplifted,Tingly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Headaches
Banana Kush,104,hybrid,Sweet,Tropical,Tree Fruit,Relaxed,Happy,Creative,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
Banana OG,105,hybrid,Sweet,Earthy,Flowery,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Headaches,
Banana Peel,106,hybrid,Sweet,Tree Fruit,Pear,Relaxed,Euphoric,Happy,Creative,Uplifted,,,,,,Depression,Pain,Stress,Fatigue,Headaches,
Bananas,107,hybrid,Tropical,Tree Fruit,Chemical,Relaxed,Hungry,Happy,Uplifted,Focused,,,,,,Depression,Pain,Stress,Lack of Appetite,Nausea,
Bandana,108,hybrid,Earthy,Pungent,Woody,Relaxed,Euphoric,Happy,Creative,Tingly,,,,,,Depression,Pain,Stress,Fatigue,Headaches,
Bango,109,hybrid,Earthy,Lime,Pungent,Euphoric,Creative,Energetic,Focused,Giggly,,,,,,,,,,,
Barbara Bud,110,indica,Earthy,Spicy/Herbal,Woody,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
Batman OG,112,indica,Skunk,Sweet,Tropical,Relaxed,Happy,Creative,Sleepy,Giggly,,,,,,Depression,Insomnia,Lack of Appetite,Eye Pressure,,
Bay 11,113,sativa,Earthy,Sweet,Citrus,Relaxed,Happy,Creative,Energetic,Uplifted,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Inflammation,Spasticity,
Bay Dream,114,sativa,Citrus,Earthy,Pungent,Relaxed,Hungry,Euphoric,Happy,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Lack of Appetite,Headaches,
Beastmode 2.0,115,indica,Sweet,Berry,Citrus,Relaxed,Euphoric,Happy,Uplifted,Sleepy,,,,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Beastmode OG,116,hybrid,Earthy,Apricot,Cheese,Relaxed,Euphoric,Happy,Uplifted,Giggly,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Bedford Glue,117,hybrid,Earthy,Flowery,Grape,Relaxed,Euphoric,Happy,Energetic,Giggly,,,,,,Pain,Lack of Appetite,Inflammation,Seizures,Muscle Spasms,
Bedica,118,indica,Chemical,Spicy/Herbal,Nutty,Relaxed,Hungry,Happy,Tingly,Sleepy,Dizzy,Dry Mouth,Dry Eyes,,,Insomnia,Pain,Lack of Appetite,Headache,Headaches,Inflammation
Bediol,119,sativa,Citrus,Pine,Lemon,Relaxed,Happy,Creative,Energetic,Uplifted,,,,,,Pain,Stress,Nausea,Fatigue,Inflammation,
Bell Ringer,120,indica,Citrus,Pungent,Sweet,Relaxed,Hungry,Sleepy,,,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Lack of Appetite,Nausea,
Belladonna,121,hybrid,Peach,Earthy,Butter,Euphoric,Happy,Uplifted,Sleepy,Giggly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Fatigue,
Berkeley,122,sativa,Sweet,Earthy,Pine,Happy,Creative,Energetic,Uplifted,,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
Berry Bomb,123,hybrid,Berry,Sweet,Earthy,Relaxed,Hungry,Euphoric,Happy,Creative,Dizzy,Paranoid,Dry Eyes,Anxious,,Depression,Insomnia,Stress,Lack of Appetite,Headache,Headaches
Berry Noir,124,indica,Berry,Earthy,Ammonia,Relaxed,Hungry,Euphoric,Sleepy,Focused,,,,,,Insomnia,Stress,Nausea,Inflammation,Muscle Spasms,
Berry OG,125,hybrid,Berry,Apple,Sweet,Relaxed,Euphoric,Happy,Creative,Sleepy,Dry Mouth,Dry Eyes,Anxious,,,Depression,Insomnia,Pain,Stress,Nausea,
Berry White,126,indica,Berry,Sweet,Blueberry,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Fatigue,
Bertberry Cheesecake,128,sativa,Blueberry,Cheese,Berry,Euphoric,Creative,Energetic,Uplifted,Focused,,,,,,Depression,Insomnia,Stress,Cramps,Headaches,
Bettie Page,129,hybrid,Cheese,Diesel,Pungent,Relaxed,Happy,Creative,Energetic,Uplifted,Dizzy,,,,,Depression,Insomnia,Pain,Stress,Fatigue,
Bhang 007 OG,130,indica,Earthy,Pine,Woody,Relaxed,Hungry,Tingly,Sleepy,,Anxious,,,,,Insomnia,Pain,Nausea,Fatigue,Headaches,
Bhang Afgoo,135,indica,Earthy,Chemical,Diesel,Relaxed,Creative,Tingly,Aroused,,Dry Mouth,,,,,Depression,Insomnia,Pain,Lack of Appetite,Fatigue,
Bhang Arjan's Strawberry Haze,138,sativa,Strawberry,,,Happy,Talkative,,,,Dry Mouth,,,,,,,,,,
Bhang Blackberry Kush,143,indica,Berry,Grape,Lavender,Relaxed,Happy,Uplifted,Tingly,Focused,,,,,,Pain,Stress,Fatigue,Headaches,Inflammation,
Bhang Bubba Kush,145,indica,Earthy,,,Relaxed,Happy,Sleepy,,,,,,,,,,,,,
Bhang Cali Orange,147,hybrid,Blue Cheese,Flowery,Orange,Relaxed,Euphoric,Happy,Aroused,,Dizzy,,,,,Depression,Insomnia,Lack of Appetite,,,
Bhang Casey Jones,148,sativa,Ammonia,Chemical,Menthol,,,,,,,,,,,Nausea,Fatigue,Headaches,Eye Pressure,Muscle Spasms,
Bhang Cheese,150,hybrid,Cheese,,,Relaxed,Focused,,,,Dry Mouth,,,,,,,,,,
Bhang ChemDawg,151,hybrid,Earthy,Pungent,,Relaxed,Happy,Energetic,Uplifted,,,,,,,Pain,Stress,Nausea,Headaches,,
Bhang Cherry Kola,152,indica,Butter,,,,,,,,Dizzy,Dry Eyes,Anxious,,,Pain,Lack of Appetite,Nausea,,,
Bhang Chocolope,156,sativa,Coffee,Earthy,Flowery,Euphoric,Happy,Energetic,Uplifted,Giggly,,,,,,Depression,Stress,Fatigue,,,
Bhang Diablo OG,159,indica,Citrus,Earthy,Blueberry,Euphoric,Happy,Creative,Uplifted,,Dizzy,,,,,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
Bhang Durban Poison,161,sativa,Earthy,Flowery,Pungent,Relaxed,Hungry,Happy,Uplifted,Giggly,,,,,,Depression,Stress,Fatigue,Headaches,Inflammation,
Bhang Dutch Treat,162,hybrid,Earthy,Pungent,Woody,Relaxed,Hungry,Uplifted,Focused,,,,,,,Stress,Fatigue,Headaches,Eye Pressure,,
Bhang Girl Scout Cookies,166,hybrid,Earthy,Grapefruit,Pine,Relaxed,Euphoric,Creative,Tingly,Focused,,,,,,Depression,Pain,Stress,Lack of Appetite,Inflammation,
Bhang Granddaddy Purple,167,indica,Grape,Berry,Woody,Relaxed,Euphoric,Happy,Energetic,Aroused,Dry Mouth,,,,,Insomnia,Pain,Stress,Lack of Appetite,Nausea,
Bhang Grape Ape,168,indica,Berry,Grape,,Euphoric,Focused,Giggly,,,Dry Eyes,,,,,Stress,,,,,
Bhang Harlequin,170,sativa,Woody,Chestnut,Lemon,Relaxed,Happy,Sleepy,Focused,Giggly,,,,,,Depression,Headaches,,,,
Bhang Hawaiian Haze,171,sativa,Flowery,Pungent,Sweet,Relaxed,Hungry,Uplifted,Sleepy,Giggly,,,,,,,,,,,
Bhang Holy Grail,175,hybrid,Grapefruit,Lime,Skunk,Hungry,Euphoric,Happy,,,Dry Mouth,Dry Eyes,,,,Pain,Stress,Lack of Appetite,Muscle Spasms,,
Bhang Island Sweet Skunk,177,sativa,Skunk,Sweet,Tropical,Happy,Energetic,Uplifted,Tingly,Aroused,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Fatigue,Inflammation,
Bhang J-1,178,hybrid,Blueberry,Citrus,Lemon,Relaxed,Euphoric,Uplifted,Tingly,Focused,,,,,,Stress,Fatigue,,,,
